destination;shift_indicator;shift;origin;blue_depot_ind_origin;product_type;crossdock;inter_3;transport_direction
VL;7;H7;AL;Nee;VL shift 7;nvt;;nvt
VL;6;H6;AL;Nee;VL shift 6;nvt;;nvt
VL;5;H5;AL;Nee;VL shift 5;nvt;;nvt
VL;4;H4;AL;Nee;VL shift 4;nvt;;nvt
VL;3;H3;AL;Nee;VL shift 3;nvt;;nvt
VL;2;H2;AL;Nee;VL shift 2;nvt;;nvt
VL;1;H1;AL;Nee;VL shift 1;nvt;;nvt
VL;N;N;AL;Nee;VL shift N;nvt;;nvt
WB;6;H6;AL;Nee;WB shift 6;nvt;;nvt
WB;5;H5;AL;Nee;WB shift 5;nvt;;nvt
WB;4;H4;AL;Nee;WB shift 4;nvt;;nvt
WB;3;H3;AL;Nee;WB shift 3;nvt;;nvt
WB;2;H2;AL;Nee;WB shift 2;nvt;;nvt
WB;1;H1;AL;Nee;WB shift 1;nvt;;nvt
WB;N;N;AL;Nee;WB shift N;nvt;;nvt
WML;7;H7;AL;Nee;WML shift 7;nvt;;nvt
WML;6;H6;AL;Nee;WML shift 6;nvt;;nvt
WML;5;H5;AL;Nee;WML shift 5;nvt;;nvt
WML;4;H4;AL;Nee;WML shift 4;nvt;;nvt
WML;3;H3;AL;Nee;WML shift 3;nvt;;nvt
WML;2;H2;AL;Nee;WML shift 2;nvt;;nvt
WML;1;H1;AL;Nee;WML shift 1;nvt;;nvt
WVN;9;H9;AL;Nee;WVN shift 9;nvt;;nvt
WVN;8;H8;AL;Nee;WVN shift 8;nvt;;nvt
WVN;7;H7;AL;Nee;WVN shift 7;nvt;;nvt
WVN;6;H6;AL;Nee;WVN shift 6;nvt;;nvt
WVN;5;H5;AL;Nee;WVN shift 5;nvt;;nvt
WVN;4;H4;AL;Nee;WVN shift 4;nvt;;nvt
WVN;3;H3;AL;Nee;WVN shift 3;nvt;;nvt
WVN;2;H2;AL;Nee;WVN shift 2;nvt;;nvt
WVN;1;H1;AL;Nee;WVN shift 1;nvt;;nvt
WVN;N;N;AL;Nee;WVN shift N;nvt;;nvt
WZN;8;H8;AL;Nee;WZN shift 8;nvt;;nvt
WZN;7;H7;AL;Nee;WZN shift 7;nvt;;nvt
WZN;6;H6;AL;Nee;WZN shift 6;nvt;;nvt
WZN;5;H5;AL;Nee;WZN shift 5;nvt;;nvt
WZN;4;H4;AL;Nee;WZN shift 4;nvt;;nvt
WZN;3;H3;AL;Nee;WZN shift 3;nvt;;nvt
WZN;2;H2;AL;Nee;WZN shift 2;nvt;;nvt
WZN;1;H1;AL;Nee;WZN shift 1;nvt;;nvt
WZN;N;N;AL;Nee;WZN shift N;nvt;;nvt
ZL;10;H10;AL;Nee;ZL shift 10;nvt;;nvt
ZL;9;H9;AL;Nee;ZL shift 9;nvt;;nvt
ZL;8;H8;AL;Nee;ZL shift 8;nvt;;nvt
ZL;7;H7;AL;Nee;ZL shift 7;nvt;;nvt
ZL;6;H6;AL;Nee;ZL shift 6;nvt;;nvt
ZL;5;H5;AL;Nee;ZL shift 5;nvt;;nvt
ZL;4;H4;AL;Nee;ZL shift 4;nvt;;nvt
ZL;3;H3;AL;Nee;ZL shift 3;nvt;;nvt
ZL;2;H2;AL;Nee;ZL shift 2;nvt;;nvt
ZL;1;H1;AL;Nee;ZL shift 1;nvt;;nvt
ZL;N;N;AL;Nee;ZL shift N;nvt;;nvt
HGV;10;H10;AL;Nee;HGV shift 10;nvt;;nvt
HGV;9;H9;AL;Nee;HGV shift 9;nvt;;nvt
HGV;8;H8;AL;Nee;HGV shift 8;nvt;;nvt
HGV;7;H7;AL;Nee;HGV shift 7;nvt;;nvt
HGV;6;H6;AL;Nee;HGV shift 6;nvt;;nvt
HGV;5;H5;AL;Nee;HGV shift 5;nvt;;nvt
HGV;4;H4;AL;Nee;HGV shift 4;nvt;;nvt
HGV;3;H3;AL;Nee;HGV shift 3;nvt;;nvt
HGV;2;H2;AL;Nee;HGV shift 2;nvt;;nvt
HGV;1;H1;AL;Nee;HGV shift 1;nvt;;nvt
HGV;N;N;AL;Nee;HGV shift N;nvt;;nvt
AL;4;H4;ALR;Ja;AL shift 4;ZWO;;ZWO
AL;3;H3;ALR;Ja;AL shift 3;ZWO;;ZWO
AL;2;H2;ALR;Ja;AL shift 2;ZWO;;ZWO
AL;1;H1;ALR;Ja;AL shift 1;ZWO;;ZWO
AL;N;N;ALR;Ja;AL shift N;ZWO;;ZWO
AMF;9;H9;ALR;Ja;AMF shift 9;ZWO;;ZWO
AMF;8;H8;ALR;Ja;AMF shift 8;ZWO;;ZWO
AMF;7;H7;ALR;Ja;AMF shift 7;ZWO;;ZWO
AMF;6;H6;ALR;Ja;AMF shift 6;ZWO;;ZWO
AMF;5;H5;ALR;Ja;AMF shift 5;ZWO;;ZWO
AMF;4;H4;ALR;Ja;AMF shift 4;ZWO;;ZWO
AMF;3;H3;ALR;Ja;AMF shift 3;ZWO;;ZWO
AMF;2;H2;ALR;Ja;AMF shift 2;ZWO;;ZWO
AMF;1;H1;ALR;Ja;AMF shift 1;ZWO;;ZWO
AMF;N;N;ALR;Ja;AMF shift N;ZWO;;ZWO
AP;9;H9;ALR;Ja;AP shift 9;ZWO;;ZWO
AP;8;H8;ALR;Ja;AP shift 8;ZWO;;ZWO
AP;7;H7;ALR;Ja;AP shift 7;ZWO;;ZWO
AP;6;H6;ALR;Ja;AP shift 6;ZWO;;ZWO
AP;5;H5;ALR;Ja;AP shift 5;ZWO;;ZWO
AP;4;H4;ALR;Ja;AP shift 4;ZWO;;ZWO
AP;3;H3;ALR;Ja;AP shift 3;ZWO;;ZWO
AP;2;H2;ALR;Ja;AP shift 2;ZWO;;ZWO
AP;1;H1;ALR;Ja;AP shift 1;ZWO;;ZWO
AP;N;N;ALR;Ja;AP shift N;ZWO;;ZWO
ARD;6;H6;ALR;Ja;ARD shift 6;ZBM;;ZBM
ARD;5;H5;ALR;Ja;ARD shift 5;ZBM;;ZBM
ARD;4;H4;ALR;Ja;ARD shift 4;ZBM;;ZBM
ARD;3;H3;ALR;Ja;ARD shift 3;ZBM;;ZBM
ARD;2;H2;ALR;Ja;ARD shift 2;ZBM;;ZBM
ARD;1;H1;ALR;Ja;ARD shift 1;ZBM;;ZBM
ASD;9;H9;ALR;Ja;ASD shift 9;XASD;;XASD
ASD;8;H8;ALR;Ja;ASD shift 8;XASD;;XASD
ASD;7;H7;ALR;Ja;ASD shift 7;XASD;;XASD
ASD;6;H6;ALR;Ja;ASD shift 6;XASD;;XASD
ASD;5;H5;ALR;Ja;ASD shift 5;XASD;;XASD
ASD;4;H4;ALR;Ja;ASD shift 4;XASD;;XASD
ASD;3;H3;ALR;Ja;ASD shift 3;XASD;;XASD
ASD;2;H2;ALR;Ja;ASD shift 2;XASD;;XASD
ASD;1;H1;ALR;Ja;ASD shift 1;XASD;;XASD
ASD;N;N;ALR;Ja;ASD shift N;XASD;;XASD
ASN;4;H4;ALR;Ja;ASN shift 4;ZWO;;ZWO
ASN;3;H3;ALR;Ja;ASN shift 3;ZWO;;ZWO
ASN;2;H2;ALR;Ja;ASN shift 2;ZWO;;ZWO
ASN;1;H1;ALR;Ja;ASN shift 1;ZWO;;ZWO
ASN;N;N;ALR;Ja;ASN shift N;ZWO;;ZWO
BD;8;H8;ALR;Ja;BD shift 8;ZBM;;ZBM
BD;7;H7;ALR;Ja;BD shift 7;ZBM;;ZBM
BD;6;H6;ALR;Ja;BD shift 6;ZBM;;ZBM
BD;5;H5;ALR;Ja;BD shift 5;ZBM;;ZBM
BD;4;H4;ALR;Ja;BD shift 4;ZBM;;ZBM
BD;3;H3;ALR;Ja;BD shift 3;ZBM;;ZBM
BD;2;H2;ALR;Ja;BD shift 2;ZBM;;ZBM
BD;1;H1;ALR;Ja;BD shift 1;ZBM;;ZBM
BD;N;N;ALR;Ja;BD shift N;ZBM;;ZBM
BORN;9;H9;ALR;Ja;BORN shift 9;ZBM;;ZBM
BORN;8;H8;ALR;Ja;BORN shift 8;ZBM;;ZBM
BORN;7;H7;ALR;Ja;BORN shift 7;ZBM;;ZBM
BORN;6;H6;ALR;Ja;BORN shift 6;ZBM;;ZBM
BORN;5;H5;ALR;Ja;BORN shift 5;ZBM;;ZBM
BORN;4;H4;ALR;Ja;BORN shift 4;ZBM;;ZBM
BORN;3;H3;ALR;Ja;BORN shift 3;ZBM;;ZBM
BORN;2;H2;ALR;Ja;BORN shift 2;ZBM;;ZBM
BORN;1;H1;ALR;Ja;BORN shift 1;ZBM;;ZBM
BORN;N;N;ALR;Ja;BORN shift N;ZBM;;ZBM
DDT;7;H7;ALR;Ja;DDT shift 7;ZWO;;ZWO
DDT;6;H6;ALR;Ja;DDT shift 6;ZWO;;ZWO
DDT;5;H5;ALR;Ja;DDT shift 5;ZWO;;ZWO
DDT;4;H4;ALR;Ja;DDT shift 4;ZWO;;ZWO
DDT;3;H3;ALR;Ja;DDT shift 3;ZWO;;ZWO
DDT;2;H2;ALR;Ja;DDT shift 2;ZWO;;ZWO
DDT;1;H1;ALR;Ja;DDT shift 1;ZWO;;ZWO
DDT;N;N;ALR;Ja;DDT shift N;ZWO;;ZWO
DTD;5;H5;ALR;Ja;DTD shift 5;ZBM;;ZBM
DTD;4;H4;ALR;Ja;DTD shift 4;ZBM;;ZBM
DTD;3;H3;ALR;Ja;DTD shift 3;ZBM;;ZBM
DTD;2;H2;ALR;Ja;DTD shift 2;ZBM;;ZBM
DTD;1;H1;ALR;Ja;DTD shift 1;ZBM;;ZBM
ELT;10;H10;ALR;Ja;ELT shift 10;ZWO;;ZWO
ELT;9;H9;ALR;Ja;ELT shift 9;ZWO;;ZWO
ELT;8;H8;ALR;Ja;ELT shift 8;ZWO;;ZWO
ELT;7;H7;ALR;Ja;ELT shift 7;ZWO;;ZWO
ELT;6;H6;ALR;Ja;ELT shift 6;ZWO;;ZWO
ELT;5;H5;ALR;Ja;ELT shift 5;ZWO;;ZWO
ELT;4;H4;ALR;Ja;ELT shift 4;ZWO;;ZWO
ELT;3;H3;ALR;Ja;ELT shift 3;ZWO;;ZWO
ELT;2;H2;ALR;Ja;ELT shift 2;ZWO;;ZWO
ELT;1;H1;ALR;Ja;ELT shift 1;ZWO;;ZWO
ELT;N;N;ALR;Ja;ELT shift N;ZWO;;ZWO
